RSE,Allocation (TB),Used (TB),Free (TB),Free(%)
SURFSARA,756,5,751,99%
RAL_ECHO,"1,000",965,35,4%
RAL-PP,625,116,509,81%
QMUL,"1,100",651,449,41%
PRAGUE,"1,126",561,565,50%
NIKHEF,"1,143",546,597,52%
MANCHESTER,"1,078","1,033",44,4%
LIVERPOOL,1,1,0,20%
LANCASTER,550,8,541,98%
DUNE_US_BNL_SDCC,830,13,817,98%
DUNE_UK_LANCASTER_CEPH,500,485,15,3%
DUNE_IT_INFN_CNAF,300,0,300,100%
DUNE_FR_CCIN2P3_XROOTD,13,0,13,100%
DUNE_FR_CCIN2P3_DISK,537,180,357,67%
DUNE_ES_PIC,720,192,527,73%
DUNE_CERN_EOS,"1,000",491,509,51%
CERN_PDUNE_EOS,"3,020","1,626","1,394",46%
CERN_PDUNE_CASTOR,"4,706","5,690",-984,-21%