 detector,datatype,resource,location,units,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
SP,Raw-Events,input,Total,Million,10.9,19.4,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP,Test,input,Total,TB,231.1,610.6,138.2,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP,Sim-Events,input,Total,Million,0,0,12.233,10.3,0.501,3.375,0.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coldbox,Test,input,Total,TB,15,2.7,1.7,57.7,936.6,41.7,151.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coldbox,Raw-Events,input,Total,Million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coldbox,Sim-Events,input,Total,Million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD,Raw-Events,input,Total,Million,0,0,0,0,0,0,21.548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD,TP,input,Total,TB,0,0,0,0,0,0,668.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD,Test,input,Total,TB,0,0,0,0,8.8,143.8,78.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDHD,Sim-Events,input,Total,Million,0,0,0,0,0,0,2.653,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
DP,Raw-Events,input,Total,Million,0.000,1.604,0.932,0.000,1.183,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP,Test,input,Total,TB,0,42.7,86.6,0,130.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DP,Sim-Events,input,Total,Million,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD,Raw-Events,input,Total,Million,0,0,0,0,0,0,5.1,20.4,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD,TP,input,Total,TB,0,0,0,0,0,0.3,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD,Test,input,Total,TB,0,0,0,0,0,5.2,0.2,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDVD,Sim-Events,input,Total,Million,0,0,0,0,0,0,0.18,5.1,5.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0
FDHD,Raw-Events,input,Total,Million,0,0,0,0,0,0,0,0,0,0,0,1.1,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3
FDHD,TP,input,Total,TB,0,0,0,0,0,0,0,0,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,2500,2500,2500,2500
FDHD,Test,input,Total,TB,0,0,0,0,0,0,0,0,1000,2500,5000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
FDHD,Sim-Events,input,Total,Million,0,0,0,0,1.826,21.758,22.629,15,15,15,40,40,40,40,40,40,40,40,40,40,40,40,40
FDVD,Raw-Events,input,Total,Million,0,0,0,0,0,0,0,0,0,0,0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,3.3,3.3,3.3,3.3,3.3
FDVD,TP,input,Total,TB,0,0,0,0,0,0,0,0,2100,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100,2600,2600,2600,2600
FDVD,Test,input,Total,TB,0,0,0,0,0,0,0,0,1050,2600,5200,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
FDVD,Sim-Events,input,Total,Million,0,0,0,6.098,85.123,7.95,8.318,15,15,15,42,42,42,42,42,42,42,42,42,42,42,42,42
ND-SAND,Raw-Events,input,Total,Million,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15
ND-SAND,Test,input,Total,TB,0,0,0,0,0,0,200,200,200,200,1000,1000,1000,1000,500,500,500,500,500,500,500,500,500
ND-SAND,Sim-Events,input,Total,Million,0,0,0,0,0,0,0,1,5,5,5,20,30,60,60,60,60,60,60,60,60,60,60
ND-LAr+TMS,Raw-Events,input,Total,Million,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,15,15,15
ND-LAr+TMS,Test,input,Total,TB,0,0,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,500,500,500,500,500,500,500,500,500
ND-LAr+TMS,Sim-Events,input,Total,Million,0,0,0,0,0,0,0,1,5,5,5,5,5,60,60,60,60,60,60,60,60,60,60