   time in kHS23-Hrs by BySite     ,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,Total
BR_CBPF,         13,          2,          6,         23,         64,         84,         49,        189,         36,          2,         25,         58,        346,         64,         74,        195,         41,         17,         20,         27,          0,         71,         20,       1436
CA_SFU,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         42,         13,         31,         14,          0,          0,          0,          0,          6,          0,          0,          5,          2,        116
CA_Victoria,         78,        570,        443,         12,          0,        291,        365,        284,         98,         60,         96,         90,         58,         18,         87,        217,         97,         17,         97,         76,        161,        368,        101,       3694
CERN,        963,       1737,       1254,        618,       1097,       1366,       1098,       1363,        448,        267,        667,        538,       1028,        417,        979,       1452,        409,        134,        383,        405,        437,        743,        550,      18366
CH_UNIBE-LHEP,          5,          2,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         15,          0,         41
CZ_FZU,        525,        743,       1002,        159,          8,         11,        824,         96,          0,          0,         62,        219,        858,        159,        225,       1134,        353,         26,         90,        205,        145,        211,        293,       7358
ES_CIEMAT,         86,         60,          0,          0,          0,         87,         34,         30,         22,          8,          1,          4,          4,         15,         19,         25,         39,          5,          1,          3,          2,         61,         20,        534
ES_PIC,        338,        616,        628,        178,        621,        830,        876,        530,        200,        111,        186,        154,        221,         92,        265,        545,        168,         12,         93,        259,        129,        113,         61,       7237
FR_CCIN2P3,        143,        326,        288,        157,        590,        324,        309,        384,        149,         49,        170,        136,        517,        121,        214,        617,        121,          8,         54,        349,         37,         62,         97,       5232
IN_TIFR,        673,        352,        669,        222,        249,        573,        641,       1126,        135,        269,        175,        240,        524,          0,        246,       1507,        380,          0,        143,         64,         98,        113,        104,       8512
IT_CNAF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,        274,        292
NL_NIKHEF,        199,        131,        141,        151,        524,        533,        388,        300,         35,        110,        265,        286,        661,         65,        233,        539,        126,         33,         98,         35,         65,        156,         31,       5117
NL_SURFsara,        833,        577,       1820,        830,        815,       1844,       1916,       1448,         93,        200,        497,        819,       2138,        228,        692,       1859,        162,         33,        341,         27,         21,        440,        320,      17965
RU_JINR,         60,         48,         13,         28,        661,        269,        153,        445,        297,         27,        451,        341,        282,         80,        339,       1024,        120,         13,         43,          0,          0,          0,          0,       4702
UK_Bristol,        210,        466,        182,          1,        237,        246,        397,        388,         82,         79,        207,        191,        797,        421,        286,        527,         79,         19,        103,        126,         72,        259,        267,       5652
UK_Brunel,         58,         19,          0,          0,          0,          0,          0,        103,         90,         60,        197,        154,        322,        101,        114,        303,         76,         11,         74,        138,         99,        116,         25,       2069
UK_Edinburgh,         31,        143,         74,          7,          0,          0,          0,         72,         33,         12,         11,         51,         60,         17,         27,        103,          6,          0,         11,        164,         24,         54,         12,        923
UK_Imperial,         38,        285,        231,        103,        142,        704,        645,        176,         61,         72,        113,         90,        248,         23,         64,        255,        100,          5,        167,         28,         37,        118,         62,       3780
UK_Lancaster,         26,        176,        161,         82,         87,        845,        382,        210,         55,         27,         46,         31,        162,        124,        106,        236,         25,          0,         63,         36,         54,          0,          0,       2945
UK_Liverpool,        106,        181,        160,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        141,         61,          5,         75,         76,         31,         38,         21,        919
UK_Manchester,        101,        243,         74,         13,        116,       2917,       2028,        768,        421,        119,        421,        573,       1122,       1294,        831,       2058,        151,          0,          0,         58,        796,        286,        306,      14707
UK_Oxford,         95,        194,        150,         43,         88,        164,         62,         73,         32,         37,         25,         43,        204,         77,         85,        309,         51,          7,         14,         30,         21,         72,         57,       1944
UK_QMUL,        215,         85,        371,        117,        972,        790,        339,        368,        119,        112,        384,        323,        468,         79,         41,          2,          6,         13,         60,        415,         30,         53,         26,       5401
UK_RAL-PPD,        429,       1029,        629,        290,        428,       1037,       1131,        508,        195,        104,        216,        341,       1283,        720,        885,       2251,        427,         69,        954,        335,        448,        859,        375,      14953
UK_RAL-Tier1,        686,       2392,       1253,        503,        612,        566,        205,        806,         74,        859,       1118,        782,       2138,        618,        452,        542,        467,        182,       1854,       1197,          0,          0,        188,      17504
UK_Sheffield,        124,         14,          0,          0,          0,          0,          0,          0,         21,         31,         51,        116,         52,         41,          0,        357,         59,          3,         39,         24,         37,         32,         17,       1025
US_BNL,        333,        373,        266,        109,         50,        231,        251,        130,         34,         31,         53,         62,        101,         23,         76,        222,         42,         15,         25,         17,         23,        190,         98,       2766
US_Caltech,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         69,          0,          0,          0,          0,          0,          0,          0,          0,         79
US_Colorado,        105,        318,        272,         13,          0,          0,          0,          0,          0,          0,          6,        224,        313,        132,        236,        424,        112,         33,        180,         91,         81,        256,        201,       3006
US_FNAL-FermiGrid,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,      17653,      25751,      10782,      16795,      13356,      28910,      34335,      18043,      13268,       8937,     187835
US_FNAL-T1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        162,        104,        172,         99,         23,         88,         64,        134,        284,         74,       1208
US_FermiGrid,       8423,      11188,      30103,      43910,      20637,      19558,      28365,      26737,       7542,       6431,       9216,       6368,      24399,      16587,          0,          0,          0,          0,          0,          0,          0,          0,          0,     259471
US_MWT2,          8,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         11
US_Michigan,          6,          7,         22,          0,          0,          0,          3,         15,         18,          2,          1,          1,          2,          0,          3,          2,          5,          5,          0,          0,          0,          0,          0,        100
US_NERSC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Nebraska,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,         25,          0,          0,          0,          0,          0,          0,         31
US_NotreDame,         13,         32,         76,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,         38,         25,         20,          9,         10,         14,          0,          1,          9,         22,        305
US_Omaha,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          9,          8,          0,          0,          0,          0,          0,          0,         17
US_PuertoRico,         25,         22,         35,         30,         16,         31,         11,         25,          2,          2,          3,         11,         43,          6,         15,         39,          5,          1,          3,          5,          4,         16,         12,        374
US_SU-ITS,        327,        201,        292,        136,        298,          0,          0,          0,          0,          0,          0,          0,         14,         65,         69,        469,        348,         41,         29,         15,         17,        249,        128,       2705
US_Swan,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          1,          2,         11
US_UCSD,         16,         50,         50,         20,          0,         41,         49,         37,         12,         17,         13,         20,         43,         30,         32,         56,          6,          4,         18,          7,         15,         24,         17,        588
US_UChicago,         34,         18,         63,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         52,         91,         20,         78,         23,         56,        261,        211,        922
US_UConn-HPC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          2,         22,          3,         13,         51,         47,         19,         65,        224
US_WSU,         51,         28,          0,          0,          0,          0,          0,         22,         19,          1,          8,          7,         61,         88,         67,         53,          0,          0,          0,          0,          0,          2,          3,        419
US_Wisconsin,         71,         10,         32,          5,          0,          0,          0,          0,          0,          0,         19,         73,         32,         20,         20,        100,          5,         10,         13,          4,          0,         22,         72,        515
undefined,        139,        255,        713,        276,        153,        300,        380,        191,         41,        169,        144,        251,        270,        199,         14,         78,          9,          0,          0,        112,         27,         28,         67,       3827
Total,      15604,      22912,      41496,      48077,      28476,      33655,      40914,      36837,      10380,       9286,      14904,      12627,      38851,      39819,      32765,      28703,      21126,      14151,      34173,      38818,      21210,      18910,      13155,     616860
