   time in MHr by BySite     ,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,Total
BR_CBPF,      0.011,      0.001,      0.000,      0.000,      0.000,      0.007,      0.001,      0.035,      0.010,      0.006,      0.000,      0.001,     0.073
CA_SFU,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
CA_Victoria,      0.030,      0.003,      0.000,      0.000,      0.000,      0.000,      0.005,      0.038,      0.006,      0.001,      0.002,      0.002,     0.087
CERN,      0.329,      0.058,      0.054,      0.007,      0.011,      0.052,      0.041,      0.599,      0.034,      0.034,      0.006,      0.025,     1.251
CH_UNIBE-LHEP,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
CZ_FZU,      0.119,      0.015,      0.021,      0.001,      0.000,      0.001,      0.002,      0.106,      0.000,      0.000,      0.005,      0.038,     0.308
ES_CIEMAT,      0.003,      0.000,      0.000,      0.000,      0.000,      0.000,      0.002,      0.021,      0.000,      0.000,      0.000,      0.000,     0.026
ES_PIC,      0.083,      0.022,      0.017,      0.001,      0.003,      0.053,      0.014,      0.161,      0.017,      0.005,      0.007,      0.015,     0.398
FR_CCIN2P3,      0.003,      0.000,      0.000,      0.001,      0.005,      0.022,      0.002,      0.058,      0.004,      0.000,      0.001,      0.007,     0.103
IN_TIFR,      0.221,      0.016,      0.035,      0.012,      0.000,      0.036,      0.014,      0.118,      0.005,      0.006,      0.001,      0.001,     0.466
IT_CNAF,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
NL_NIKHEF,      0.020,      0.027,      0.003,      0.001,      0.000,      0.050,      0.002,      0.086,      0.018,      0.004,      0.015,      0.093,     0.319
NL_SURFsara,      0.411,      0.001,      0.074,      0.002,      0.004,      0.132,      0.025,      0.376,      0.006,      0.003,      0.012,      0.088,     1.134
RU_JINR,      0.005,      0.015,      0.000,      0.001,      0.000,      0.018,      0.001,      0.022,      0.018,      0.002,      0.000,      0.001,     0.082
UK_Bristol,      0.262,      0.027,      0.005,      0.003,      0.000,      0.020,      0.012,      0.067,      0.009,      0.005,      0.012,      0.009,     0.429
UK_Brunel,      0.066,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.017,      0.010,      0.005,      0.011,      0.015,     0.125
UK_Edinburgh,      0.002,      0.013,      0.006,      0.000,      0.000,      0.000,      0.000,      0.004,      0.003,      0.002,      0.001,      0.003,     0.032
UK_Imperial,      0.013,      0.008,      0.001,      0.001,      0.001,      0.014,      0.001,      0.114,      0.010,      0.002,      0.005,      0.039,     0.210
UK_Lancaster,      0.025,      0.008,      0.012,      0.010,      0.000,      0.202,      0.004,      0.078,      0.003,      0.001,      0.008,      0.009,     0.361
UK_Liverpool,      0.016,      0.007,      0.006,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.029
UK_Manchester,      0.005,      0.000,      0.000,      0.000,      0.000,      0.122,      0.008,      0.030,      0.038,      0.025,      0.010,      0.113,     0.352
UK_Oxford,      0.088,      0.017,      0.005,      0.001,      0.001,      0.012,      0.004,      0.033,      0.006,      0.003,      0.003,      0.003,     0.177
UK_QMUL,      0.073,      0.000,      0.006,      0.002,      0.008,      0.044,      0.011,      0.100,      0.012,      0.005,      0.012,      0.014,     0.289
UK_RAL-PPD,      0.317,      0.045,      0.005,      0.005,      0.005,      0.025,      0.013,      0.132,      0.027,      0.017,      0.014,      0.082,     0.684
UK_RAL-Tier1,      0.365,      0.236,      0.003,      0.037,      0.004,      0.053,      0.007,      0.397,      0.030,      0.010,      0.026,      0.086,     1.253
UK_Sheffield,      0.037,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.003,      0.008,      0.002,     0.050
US_BNL,      0.156,      0.014,      0.031,      0.002,      0.000,      0.000,      0.004,      0.106,      0.002,      0.001,      0.004,      0.010,     0.330
US_Caltech,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Colorado,      0.047,      0.017,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.007,     0.077
US_FNAL-FermiGrid,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_FNAL-T1,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_FermiGrid,      0.557,      0.206,      0.121,      0.099,      0.027,      0.275,      0.056,      1.089,      0.119,      0.120,      0.011,      0.247,     2.927
US_MWT2,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Michigan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_NERSC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.001,      0.000,      0.000,      0.000,      0.003,     0.003
US_Nebraska,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_NotreDame,      0.003,      0.000,      0.005,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.009
US_Omaha,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_PuertoRico,      0.003,      0.000,      0.002,      0.000,      0.001,      0.001,      0.001,      0.003,      0.000,      0.000,      0.002,      0.004,     0.016
US_SU-ITS,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_Swan,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_UCSD,      0.009,      0.003,      0.002,      0.001,      0.000,      0.001,      0.002,      0.008,      0.000,      0.001,      0.001,      0.004,     0.033
US_UChicago,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_UConn-HPC,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.000
US_WSU,      0.029,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.029
US_Wisconsin,      0.014,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,     0.014
undefined,      0.163,      0.181,      0.324,      1.017,      0.025,      0.005,      0.003,      0.070,      0.004,      0.002,      0.000,      0.007,     1.800
Total,      3.484,      0.942,      0.743,      1.203,      0.097,      1.146,      0.234,      3.867,      0.392,      0.262,      0.179,      0.927,    13.476
